author,datasets_cited,num_datasets
"Arianna Zuanazzi, Pablo Ripollés, Wy Ming Lin, Laura Gwilliams, Jean-Rémi King, David Poeppel",on007763,1
"Sarah F. Phillips, Liina Pylkkänen",on007763,1
"Christian J. Brodbeck, Laura Gwilliams, Liina Pylkkänen",on007763,1
"Kimberly Leiken, Brian McElree, Liina Pylkkänen",on007763,1
"Jixing Li, Marco Chia-Ho Lai, Liina Pylkkänen",on007763,1
"Esti Blanco-Elorrieta, Victor S. Ferreira, Paul Del Prato, Liina Pylkkänen",on007763,1
Abhisek Ukil,on007763,1
"Francesco Mantegna, Joan Orpella, David Poeppel",on007763,1
"Nigel Flower, Liina Pylkkänen","on007753,on007763",2
"Limin Sun, Matti Hämäläinen, Yoshio C Okada",on007763,1
"Jeff Hanna, Cora Kim, N. Müller-Voggel",on007763,1
"Kazuo Komamura, Yoshiaki Adachi, Masakazu Miyamoto, Jun Kawai, Yasuhiro Haruta, Gen Uehara",on007763,1
"Rodolfó R. Llinás, Stanislav Dmitrievich Rykunov, Kerry D. Walton, A.I. Boyko, Mikhail Nikolaevich Ustinin",on007763,1
"Samantha Wray, Linnaea Stockall, Alec Marantz",on007763,1
"Ellie Bean Abrams, Alec Marantz, Isaac Krementsov, Laura Gwilliams",on007763,1
"Zhouheng Wang, Nanlin Shi, Yingchao Zhang, Ning Zheng, Haicheng Li, Yang Jiao, Jiahui Cheng, Yutong Wang, Xiaoqing Zhang, Ying Chen, Yihao Chen, Heling Wang, Tao Xie, Yijun Wang, Yinji Ma, Xiaorong Gao, Xue Feng","on005185,on007753,on007763",3
"Christian J. Brodbeck, Proloy Das, Marlies Gillis, Joshua P. Kulasingham, Shohini Bhattasali, Phoebe Gaston, Philip Resnik, Jonathan Z. Simon","nm000180,on007753,on007763,on007870",4
"Joshua P. Kulasingham, Florine L. Bachmann, Kasper Eskelund, Martin Enqvist, Hamish Innes-Brown, Emina Alickovic","on004356,on007753,on007763",3
"Marlies Gillis, Jill Kries, Maaike Vandermosten, Tom Francart","nm000180,on007753,on007763,on007870",4
"Quirin Gehmacher, Juliane Schubert, Fabian Schmidt, Thomas Hartmann, Patrick Reisinger, Sebastian Rösch, Konrad Schwarz, Tzvetan G. Popov, Maria Chait, Nathan Weisz","on007753,on007763",2
"Filiz Tezcan, Hugo Weissbart, Andrea E. Martin","nm000228,on007753,on007763,on007870",4
"Juraj Mesík, Magdalena Wojtczak","on007753,on007763",2
"Jill Kries, Pieter De Clercq, Marlies Gillis, Jonas Vanthornhout, Robin Lemmens, Tom Francart, Maaike Vandermosten","on007753,on007763",2
"Juliane Schubert, Fabian Schmidt, Quirin Gehmacher, Annika Bresgen, Nathan Weisz","on007753,on007763",2
"Zilong Xie, Christian J. Brodbeck, Bharath Chandrasekaran","on007753,on007763,on007870",3
"Christian J. Brodbeck, Jonathan Z. Simon","nm000180,on007753,on007763",3
"Joshua P. Kulasingham, Jonathan Z. Simon","on007753,on007763",2
"I. M. Dushyanthi Karunathilake, Christian J. Brodbeck, Shohini Bhattasali, Philip Resnik, Jonathan Z. Simon","on007753,on007763,on007870",3
"Sophie Slaats, Antje S. Meyer, Andrea E. Martin","nm000180,on007753,on007763",3
"Christian J. Brodbeck, Katerina Danae Kandylaki, Odette Scharenborg","on007753,on007763,on007870",3
"Donald G. Dunagan, Tyson Jordan, John Hale, Liina Pylkkänen, Dustin Alfonso Chacón","on007753,on007763",2
"Jose Pérez‐Navarro, Anastasia Klimovich‐Gray, Mikel Lizarazu, Giorgio Piazza, Nicola Molinaro, Marie Lallier","on007753,on007763,on007870",3
"Joshua Krause, Jacolien van Rij, Jelmer P. Borst","on007753,on007763",2
"Johanna Wilroth, Emina Aličković, Martin A. Skoglund, Carine Signoret, Jer­ker Rönnberg, Martin Enqvist","on007753,on007763",2
"Adrian Mai, Steven A. Hillyard, Daniel J. Strauß","on007753,on007763",2
"Thorge Haupt, Marc Rosenkranz, Martin Georg Bleichner","on003516,on004505,on007753,on007763",4
"Pieter De Clercq, Jill Kries, Ramtin Mehraram, Jonas Vanthornhout, Tom Francart, Maaike Vandermosten","on007753,on007763",2
"Elena Bolt, Nathalie Giroud","on004356,on007753,on007763",3
"Florine L. Bachmann, Joshua P. Kulasingham, Kasper Eskelund, Martin Enqvist, Emina Alickovic, Hamish Innes-Brown","on004356,on007753,on007763",3
Nicola Molinaro,"on007753,on007763,on007870",3
"Christian J. Brodbeck, Thomas Hannagan, James S. Magnuson","on004276,on007753,on007763,on007870",4
"Proloy Das, Mingjian He, Patrick L. Purdon","on007753,on007763",2
"Alexei Voskoboynikov, Magomed Aliverdiev, Julia Yu. Nekrasova, Ilia Semenkov, Anastasia A. Skalnaya, Mikhail Vladimirovich Sinkin, Alexei E. Ossadtchi","on007753,on007763",2
"Patrick Reisinger, Marlies Gillis, Nina Suess, Jonas Vanthornhout, Chandra Leon Haider, Thomas Hartmann, Anne Hauswald, Konrad Schwarz, Tom Francart, Nathan Weisz","on007753,on007763",2
"Zhe‐chen Guo, Jacie R. McHaney, Aravindakshan Parthasarathy, Kailyn A. McFarlane, Bharath Chandrasekaran","on006104,on007753,on007763",3
"Joshua P. Kulasingham, Hamish Innes-Brown, Martin Enqvist, Emina Alickovic","on004356,on007753,on007763",3
"Zhe‐chen Guo, Bharath Chandrasekaran",on007763,1
"Charlie Fisher, I. M. Dushyanthi Karunathilake, Michael Andrew Johns, Allison Vance, Stefanie E. Kuchinsky, Samira Anderson, Jonathan Z. Simon","on007753,on007763,on007870",3
Zilong Xie,"on004356,on007753,on007763,on007870",4
"Yu-Jyun Guo, I-Hui Hsieh","on007753,on007763",2
"Fabian Schneider, Helen Blank","on007523,on007524,on007753,on007763",4
"Ryan M.C. Law, Matthew A. Lambon Ralph, OLAF HAUK","on007753,on007763",2
"Gurgen Soghoyan, Anastasia K. Neklyudova, Olga Martynova, Olga Sysoeva","on007753,on007763",2
"Heather Raye Dial, G. Nike Gnanateja","on007753,on007763",2
"Kaja Rosa Benz, Anne Hauswald, Nina Suess, Quirin Gehmacher, Gianpaolo Demarchi, Fabian Schmidt, Gudrun Herzog, Sebastian Rösch, Nathan Weisz","on007753,on007763",2
"Quirin Gehmacher, Juliane Schubert, Aaron Kaltenmaier, Nathan Weisz, Clare Press","on007753,on007763",2
"Juliane Schubert, Quirin Gehmacher, Fabian Schmidt, Thomas Hartmann, Nathan Weisz","on007753,on007763",2
"Changjiang Gao, Zhengwu Ma, Jiajun Chen, Ping Li, Shujian Huang, Jixing Li","on007753,on007763",2
"Dustin Alfonso Chacón, Donald G. Dunagan, Jill McLendon, Hareem Khokhar, Zahin Hoque","on007753,on007763",2
"Ruixuan Xu, Xiaoming Jiang","on007753,on007763",2
"Chao Liu, Nan Zhang, Zhen Peng, Run Sheng Wang, Huisen Wen, Weijun Gao","on007753,on007763",2
"John P. Veillette, Jacob Rosen, Daniel Margoliash, Howard C. Nusbaum","on007753,on007763",2
"Moshe Azar, Alec Marantz","on007753,on007763",2
"Suhail Matar, Alec Marantz","on007753,on007763,on007870",3
"Tomoya Nakai, Charlotte Constant-Varlet, Jérôme Prado","nm000232,on007753,on007763",3
"Donald G. Dunagan, Jill McLendon, Tyson Jordan, Dustin Alfonso Chacón","on007753,on007763",2
"Ebony Goldman, Sherine Bou-Dargham, Marco Chia-Ho Lai, Anvita Guda, Jacqui Fallon, Miriam Hauptman, Alejandra Reinoso, Sarah Frances Phillips, Ellie Bean Abrams, Alicia Parrish, Liina Pylkkänen","on007753,on007763,on007870",3
"Yushi Sugimoto, Masayuki Asahara, Hyeonjeong Jeong, Akitake Kanno, Masatoshi Koizumi, Yohei Oseki","on007753,on007763",2
"Si Long Jenny Tou, Mingjian He, Scott Yeiichi Oshiro, Proloy Das, Patrick L. Purdon","on007753,on007763",2
"Kaja Rosa Benz, Larissa Reitinger, Fabian Schmidt, Davide Bottari, Anne Hauswald, Olivier Collignon, Nathan Weisz","on007753,on007763",2
"Vrishab Commuri, Charlie Fisher, I.M Dushyanthi Karunathilake, Proloy Das, Stefanie E. Kuchinsky, Behtash Babadi, Jonathan Z. Simon","on007753,on007763",2
"Karl D. Lerud, Charlie D Fisher, Vrishab Commuri, Samira Anderson, Jonathan Z. Simon","on004356,on007753,on007763",3
"Ruixiang Liu, Huan ZHANG, Chang Liu, Xinmeng Xu, Xu Zhao, Xuewen Wang, Fulong Zhang, Xianzheng Sha, Limin Sun, Zhi Wang, Shuo Li, Shijie Chang","on007753,on007763",2
"Zhe-chen Guo, Kailyn McFarlane, Jacie R. McHaney, Ishika Choksi, Mollee Feeney, Lauren Preston, Bharath Chandrasekaran","on007753,on007763",2
"Hong Ren Chen, Xiangbin Teng, Yu Li, Shen-Mou Hsu, Feng‐Ming Tsao, Patrick C. M. Wong, Gangyi Feng","on007753,on007763",2
"Johanna Wilroth, Oskar Keding, Martin A. Skoglund, Maria Sandsten, Martin Enqvist, Emina Aličković","on007753,on007763",2
"Donald G. Dunagan, Dylan Scott Low, Shisen Yue, Lars Meyer, John Hale","on007753,on007763,on007870",3
"Natalia A. Zhozhikashvili, O. V. Sysoeva, Elizaveta Makarova, Olga V. Martynova","nm000229,on007753,on007763",3
